civilization,start,end,Country,Profeession,,,,,
Gabriel Yared,1949,2020,France,Composer,,,,,
Eric Besson,1958,2020,France,Politician,,,,,
Elie Aboud,1959,2020,France,Politician,,,,,
Antoine Sfeir,1948,2018,France,Journalist,,,,,
Guy Beart,1930,2015,France,Singer,,,,,
Matthieu Chedid,1971,2020,France,Singer,,,,,
Amin Maalouf,1976,2020,France,Author,,,,,
Ibrahim Maalouf,1980,2020,France,Composer,,,,,
Louis Chedid,1948,2020,France,Singer,,,,,
Abdel Rahman El Bacha ,1958,2020,France,Composer,,,,,
Thomas Langmann,1971,2020,France,Actor,,,,,
Mahmoud Omeirat Charr,1984,2020,Germany,Athlete,,,,,
Mo Abdallah,1994,2020,Germany,Athlete,,,,,
Bachir Maroun,1978,2020,Germany,Athlete,,,,,
Rola El Halabi,1985,2020,Germany,Athlete,,,,,
Mey Alasadi,1972,2020,Germany,Athlete,,,,,
Khalid Taha ,1992,2020,Germany,Athlete,,,,,
Amina Sabbah,1995,2020,Germany,Model,,,,,
Hussein Akkouche,1995,2020,Germany,Singer,,,,,
Mohammed El Moussaoui,1988,2020,Germany,Singer,,,,,
Ghassan Ramlawi,1993,2020,Germany,Singer,,,,,
Saad El Hadded,1985,2020,Germany,Singer,,,,,
Tarek Hussein,1978,2020,Germany,Singer,,,,,
Hassan Akkouch,1988,2020,Germany,Actor,,,,,
Margit Saad,1929,2020,Germany,Actor,,,,,
Imad Karim,1958,2020,Germany,Director,,,,,
Marcos Baghdatis,1985,2020,Greece,Athlete,,,,,
Ronald Fred Seikaly,1965,2020,Greece,Athlete,,,,,
Wadie George Azzam,1925,2004,Italy,Singer,,,,,
Antonella Lualdi,1931,2020,Italy,Singer,,,,,
Luca Turin,1953,2020,Italy,Scientist,,,,,
Bruno Carmeni,1940,2020,Italy,Athlete,,,,,
Gad Eitan Lerner,1954,2020,Italy,Journalist,,,,,
Edward Seaga,1930,2019,Jamaica,Politician,,,,,
Carlos Ghosn,1954,2020,Japan,CEO,,,,,
Carlos Slim,1940,2020,Mexico,CEO,,,,,
Berbara Mori,1978,2020,Mexico,Actor,,,,,
Demian Bichir,1963,2020,Mexico,Actor,,,,,
Miguel Sabah Rodríguez,1979,2020,Mexico,Athlete,,,,,
Jaime Sabines,1926,1999,Mexico,Poet,,,,,
Susana Harp,1968,2020,Mexico,Singer,,,,,
Carlos Jimenez Mabarak,1916,1994,Mexico,Composer,,,,,
Charlotte Yazbek,1919,1989,Mexico,Sculptor,,,,,
Abdul Nasser El Hakim ,1960,2020,Netherland,Businessman,,,,,
Emily saidy de jongh-Elhage,1946,2020,Netherland,Politician,,,,,
Mario Abdo Ben’tez,1971,2020,Paraguway,Politician,,,,,
María Laura Corradini Falomir,1975,2020,Spain,Singer,,,,,
Shakira Isabel Mebarak Ripoll,1977,2020,Spain,Singer,,,,,
Roberto Merhi Muntan,1991,2020,Spain,Athlete,,,,,
Jose Maria Benegas Haddad,1948,2015,Spain,Politician,,,,,
Noel Jammal Fernandez,1990,2020,Spain,Athlete,,,,,
Yamila Diaz Rahi,1976,2020,Spain,Model,,,,,
Miguel Casiri,1710,1791,Spain,Philosopher,,,,,
Samir Yacoub Brikho,1957,2020,Sweden,Businessman,,,,,
Fares Fares,1973,2020,Sweden,Actor,,,,,
Joseph Fares,1977,2020,Sweden,Actor,,,,,
Nour El Refai,1987,2020,Sweden,Actor,,,,,
Oussama Kassir,1966,2020,Sweden,Singer,,,,,
Emile Azar,1985,2020,Sweden,Singer,,,,,
Rabih Jaber,1987,2020,Sweden,Singer,,,,,
Maher Zain,1981,2020,Sweden,Singer,,,,,
Elias Zazi,1964,2020,Sweden,Composer,,,,,
Fadia Dirawi,1975,2020,Sweden,Singer,,,,,
Rebecca Simonsson,1985,2020,Sweden,Singer,,,,,
Robert Alexander Robert Michel Melki,1992,2020,Sweden,Athlete,,,,,
George Felix Robert Michel Melki,1994,2020,Sweden,Athlete,,,,,
Nicolas Hayek,1928,2010,Switzerland,CEO,,,,,
Joseph Safra,1938,2020,Switzerland,Banker,,,,,
Faris al Khoury ,1877,1962,Syria,Politician,,,,,
Peter Mdawar,1915,1987,UK,Writer,,,,,
Sir Michael Francis Atiyah,1929,2019,UK,Mathematician,,,,,
Alex Garland,1970,2020,UK,Writer,,,,,
Skandar Keynes,1991,2020,UK,Actor,,,,,
Michael Holbrook Penniman Jr.,1983,2020,UK,Singer,,,,,
Alberto Abdala,1920,1986,Urugway,Politician,,,,,
"Elias James ""E.J."" Corey",1928,2020,USA,Scientist,,,,,
Michael Ellis DeBakey,1908,2008,USA,Medical Doctor,,,,,
Nassim Nicholas Taleb,1960,2020,USA,Scientist,,,,,
Geoffrey Johns,1973,2020,USA,Writer,,,,,
Huda Yahya Zoghbi,1954,2020,USA,Scientist,,,,,
William Peter Blatty,1928,2017,USA,Writer,,,,,
Ralph Nader,1934,2020,USA,Politician,,,,,
Jeanine Pirro,1951,2020,USA,Politician,,,,,
Donna Shalala,1941,2020,USA,Politician,,,,,
John Abizaid,1951,2020,USA,Army,,,,,
Michael A. Monsoor,1981,2006,USA,Army,,,,,
Christa McAuliffe,1948,1986,USA,Astronaut,,,,,
John J. Mack,1944,2020,USA,CEO,,,,,
Jacques Nasser,1947,2020,USA,CEO,,,,,
Marcus Lemonis,1973,2020,USA,CEO,,,,,
Danny Thomas,1912,1991,USA,Actor,,,,,
Marlo Thomas,1937,2020,USA,Actor,,,,,
Salma Hayek,1966,2020,USA,Actor,,,,,
Jenna Dewan,1980,2020,USA,Actor,,,,,
Terrence Malick,1943,2020,USA,Director,,,,,
Jim Backus,1913,1989,USA,Actor,,,29,,
Jane Wiedlin,1958,2020,USA,Singer,,,,,
Kristy McNichol,1962,2020,USA,Actor,,,,,
John Leguizamo,1964,2020,USA,Actor,,,,,
Tyler Joseph,1988,2020,USA,Singer,,,,,
Andrew Bazzi,1997,2020,USA,Singer,,,,,
Thomas Rhett,1990,2020,USA,Singer,,,,,
Doug Flutie,1962,2020,USA,Athlete,,,,,
Rony Seikaly,1965,2020,USA,Athlete,,,,,
Tarek Zidan El Aissami Maddah,1974,2020,Venezuela,Politician,,,,,
Abelardo Raidi,1914,2002,Venezuela,Sportswriter,,,,,
Carlos Lavaud,1904,1975,Venezuela,Businessman,,,,,
Julian Chela Flores,1942,2020,Venezuela,Medical Doctor,,,,,
Tareck El Aissami,1974,2020,Venezuela,Politician,,,,,
Henry Ramos Allup,1943,2020,Venezuela,Politician,,,,,
Tarek William Saab,1962,2020,Venezuela,Politician,,,,,
Elias Jaua Milano,1969,2020,Venezuela,Politician,,,,,
Coraima Torres,1973,2020,Venezuela,Actor,,,,,
Dad Dager,1967,2020,Venezuela,Actor,,,,,
