,country,year,donations,receipts,net_donations,cumulative_donations,,,,
146,Austria,2014,52,0,52,1087,,,,
147,Austria,2015,63,0,63,1150,,,,
148,Austria,2016,76,0,76,1226,,,,
149,Belarus,1980,0,0,0,0,,,,
150,Belarus,1981,0,0,0,0,,,,
151,Belarus,1982,0,0,0,0,,,,
152,Belarus,1983,0,0,0,0,,,,
153,Belarus,1984,0,0,0,0,,,,
154,Belarus,1985,0,0,0,0,,,,
155,Belarus,1986,0,0,0,0,,,,
156,Belarus,1987,0,0,0,0,,,,
157,Belarus,1988,0,0,0,0,,,,
158,Belarus,1989,0,0,0,0,,,,
159,Belarus,1990,0,0,0,0,,,,
160,Belarus,1991,0,0,0,0,,,,
161,Belarus,1992,0,0,0,0,,,,
162,Belarus,1993,0,0,0,0,,,,
163,Belarus,1994,0,0,0,0,,,,
164,Belarus,1995,0,0,0,0,,,,
165,Belarus,1996,0,0,0,0,,,,
166,Belarus,1997,0,0,0,0,,,,
167,Belarus,1998,0,0,0,0,,,,
168,Belarus,1999,0,0,0,0,,,,
169,Belarus,2000,103,0,103,103,,,,
170,Belarus,2001,116,0,116,219,,,,
171,Belarus,2002,103,0,103,322,,,,
172,Belarus,2003,88,0,88,410,,,,
173,Belarus,2004,73,0,73,483,,,,
174,Belarus,2005,98,0,98,581,,,,
175,Belarus,2006,87,0,87,668,,,,
176,Belarus,2007,73,0,73,741,,,,
177,Belarus,2008,52,0,52,793,,,,
178,Belarus,2009,58,0,58,851,,,,
179,Belarus,2010,0,0,0,851,,,,
180,Belarus,2011,0,0,0,851,,,,
181,Belarus,2012,0,0,0,851,,,,
182,Belarus,2013,0,0,0,851,,,,
183,Belarus,2014,0,0,0,851,,,,
184,Belarus,2015,2,0,2,853,,,,
185,Belarus,2016,2,0,2,855,,,,
186,Belgium,1980,0,0,0,0,,,,
187,Belgium,1981,0,0,0,0,,,,
188,Belgium,1982,0,0,0,0,,,,
189,Belgium,1983,0,0,0,0,,,,
190,Belgium,1984,0,0,0,0,,,,
191,Belgium,1985,0,0,0,0,,,,
192,Belgium,1986,0,0,0,0,,,,
193,Belgium,1987,0,0,0,0,,,,
194,Belgium,1988,0,0,0,0,,,,
195,Belgium,1989,0,0,0,0,,,,
196,Belgium,1990,0,0,0,0,,,,
197,Belgium,1991,0,0,0,0,,,,
198,Belgium,1992,0,0,0,0,,,,
199,Belgium,1993,0,0,0,0,,,,
200,Belgium,1994,0,0,0,0,,,,
201,Belgium,1995,0,0,0,0,,,,
202,Belgium,1996,177,0,177,177,,,,
203,Belgium,1997,177,0,177,354,,,,
204,Belgium,1998,124,0,124,478,,,,
205,Belgium,1999,118,0,118,596,,,,
206,Belgium,2000,88,0,88,684,,,,
207,Belgium,2001,26,0,26,710,,,,
208,Belgium,2002,40,0,40,750,,,,
209,Belgium,2003,32,0,32,782,,,,
210,Belgium,2004,34,0,34,816,,,,
211,Belgium,2005,22,0,22,838,,,,
212,Belgium,2006,14,0,14,852,,,,
213,Belgium,2007,28,0,28,880,,,,
214,Belgium,2008,41,0,41,921,,,,
215,Belgium,2009,50,0,50,971,,,,
216,Belgium,2010,142,0,142,1113,,,,
217,Belgium,2011,164,0,164,1277,,,,
218,Belgium,2012,182,0,182,1459,,,,
219,Belgium,2013,209,0,209,1668,,,,
220,Belgium,2014,77,0,77,1745,,,,
221,Belgium,2015,109,0,109,1854,,,,
222,Belgium,2016,99,0,99,1953,,,,
223,Brazil,1980,0,0,0,0,,,,
224,Brazil,1981,0,0,0,0,,,,
225,Brazil,1982,0,0,0,0,,,,
226,Brazil,1983,0,0,0,0,,,,
227,Brazil,1984,0,0,0,0,,,,
228,Brazil,1985,0,0,0,0,,,,
229,Brazil,1986,0,0,0,0,,,,
230,Brazil,1987,0,0,0,0,,,,
231,Brazil,1988,0,0,0,0,,,,
